index,path_align,goal_align,nav_status,nav_time
0,0.1,0.1,SUCCEEDED,34.07
1,0.1,0.1,SUCCEEDED,33.718
2,0.1,0.1,SUCCEEDED,33.412
3,0.1,0.1,SUCCEEDED,33.223
4,0.1,0.1,SUCCEEDED,34.183
5,0.1,0.1,SUCCEEDED,34.248
6,0.1,0.1,SUCCEEDED,33.441
7,0.1,0.1,SUCCEEDED,33.303
8,0.1,0.1,SUCCEEDED,33.719
9,0.1,0.1,SUCCEEDED,33.737
10,0.1,0.5,SUCCEEDED,33.973
11,0.1,0.5,SUCCEEDED,33.553
12,0.1,0.5,SUCCEEDED,34.205
13,0.1,0.5,SUCCEEDED,33.869
14,0.1,0.5,SUCCEEDED,33.341
15,0.1,0.5,SUCCEEDED,33.819
16,0.1,0.5,SUCCEEDED,33.667
17,0.1,0.5,SUCCEEDED,33.455
18,0.1,0.5,SUCCEEDED,33.51
19,0.1,0.5,SUCCEEDED,33.883
20,0.1,1.0,SUCCEEDED,33.932
21,0.1,1.0,SUCCEEDED,33.004
22,0.1,1.0,SUCCEEDED,33.985
23,0.1,1.0,SUCCEEDED,33.777
24,0.1,1.0,SUCCEEDED,33.743
25,0.1,1.0,SUCCEEDED,33.558
26,0.1,1.0,SUCCEEDED,32.888
27,0.1,1.0,SUCCEEDED,33.117
28,0.1,1.0,SUCCEEDED,33.965
29,0.1,1.0,SUCCEEDED,34.16
30,0.1,2.0,SUCCEEDED,33.202
31,0.1,2.0,SUCCEEDED,33.107
32,0.1,2.0,SUCCEEDED,33.675
33,0.1,2.0,SUCCEEDED,33.572
34,0.1,2.0,SUCCEEDED,33.266
35,0.1,2.0,SUCCEEDED,33.296
36,0.1,2.0,SUCCEEDED,33.395
37,0.1,2.0,SUCCEEDED,33.109
38,0.1,2.0,SUCCEEDED,33.199
39,0.1,2.0,SUCCEEDED,33.292
40,0.1,3.0,SUCCEEDED,32.826
41,0.1,3.0,SUCCEEDED,33.049
42,0.1,3.0,SUCCEEDED,32.766
43,0.1,3.0,SUCCEEDED,33.043
44,0.1,3.0,SUCCEEDED,33.106
45,0.1,3.0,SUCCEEDED,33.298
46,0.1,3.0,SUCCEEDED,33.077
47,0.1,3.0,SUCCEEDED,32.826
48,0.1,3.0,SUCCEEDED,33.481
49,0.1,3.0,SUCCEEDED,33.118
50,0.5,0.1,SUCCEEDED,33.272
51,0.5,0.1,SUCCEEDED,33.432
52,0.5,0.1,SUCCEEDED,33.129
53,0.5,0.1,SUCCEEDED,33.38
54,0.5,0.1,SUCCEEDED,34.061
55,0.5,0.1,SUCCEEDED,34.032
56,0.5,0.1,SUCCEEDED,32.935
57,0.5,0.1,SUCCEEDED,33.158
58,0.5,0.1,SUCCEEDED,34.038
59,0.5,0.1,SUCCEEDED,33.727
60,0.5,0.5,SUCCEEDED,33.37
61,0.5,0.5,SUCCEEDED,32.994
62,0.5,0.5,SUCCEEDED,33.864
63,0.5,0.5,SUCCEEDED,34.002
64,0.5,0.5,SUCCEEDED,33.629
65,0.5,0.5,SUCCEEDED,33.767
66,0.5,0.5,SUCCEEDED,33.625
67,0.5,0.5,SUCCEEDED,33.472
68,0.5,0.5,SUCCEEDED,33.863
69,0.5,0.5,SUCCEEDED,33.985
70,0.5,1.0,SUCCEEDED,34.269
71,0.5,1.0,SUCCEEDED,33.686
72,0.5,1.0,SUCCEEDED,33.989
73,0.5,1.0,SUCCEEDED,33.77
74,0.5,1.0,SUCCEEDED,33.991
75,0.5,1.0,SUCCEEDED,33.491
76,0.5,1.0,SUCCEEDED,33.253
77,0.5,1.0,SUCCEEDED,34.0
78,0.5,1.0,SUCCEEDED,33.726
79,0.5,1.0,SUCCEEDED,34.017
80,0.5,2.0,SUCCEEDED,33.352
81,0.5,2.0,SUCCEEDED,33.672
82,0.5,2.0,SUCCEEDED,33.367
83,0.5,2.0,SUCCEEDED,33.123
84,0.5,2.0,SUCCEEDED,33.774
85,0.5,2.0,SUCCEEDED,33.433
86,0.5,2.0,SUCCEEDED,33.732
87,0.5,2.0,SUCCEEDED,33.658
